Symbol,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,3.03E+12,United States,1980,52659750,Technology,Computer Manufacturing
MSFT,2.78E+12,United States,1986,24793822,Technology,Computer Software: Prepackaged Software
GOOG,1.67E+12,United States,2004,26535057,Technology,Computer Software: Programming Data Processing
GOOGL,1.66E+12,United States,2004,28980921,Technology,Computer Software: Programming Data Processing
AMZN,1.52E+12,United States,1997,44886226,Consumer Discretionary,Catalog/Specialty Distribution
NVDA,1.18E+12,United States,1999,37170523,Technology,Semiconductors
META,8.59E+11,United States,2012,18463731,Technology,Computer Software: Programming Data Processing
HSBC,7.73E+11,United Kingdom,,1783039,Finance,Savings Institutions
TSLA,7.53E+11,United States,2010,95170644,Consumer Discretionary,Auto Manufacturing
LLY,5.55E+11,United States,,2844082,Health Care,Biotechnology: Pharmaceutical Preparations
TSM,5.27E+11,Taiwan,1997,7375719,Technology,Semiconductors
UNH,5.05E+11,United States,,2706084,Health Care,Medical Specialities
V,4.76E+11,United States,,5945919,Consumer Discretionary,Business Services
JPM,4.64E+11,United States,,10221578,Finance,Major Banks
AVGO,4.43E+11,United States,2009,9016286,Technology,Semiconductors
NVO,4.31E+11,Denmark,,3641846,Health Care,Biotechnology: Pharmaceutical Preparations
SHEL,4.26E+11,Netherlands,2022,5417670,Energy,Oil & Gas Production
WMT,4.07E+11,United States,,7115206,Consumer Discretionary,Department/Specialty Retail Stores
MA,3.95E+11,United States,2006,2736535,Consumer Discretionary,Business Services
XOM,3.89E+11,United States,,26034611,Energy,Integrated oil Companies
JNJ,3.73E+11,United States,,5323954,Health Care,Biotechnology: Pharmaceutical Preparations
PG,3.44E+11,United States,,6058306,Consumer Discretionary,Package Goods/Cosmetics
HD,3.32E+11,United States,,2893441,Consumer Discretionary,RETAIL: Building Materials
BHP,3.15E+11,Australia,,1637343,Basic Materials,Metal Mining
ADBE,2.89E+11,United States,1986,2965978,Technology,Computer Software: Prepackaged Software
ASML,2.84E+11,Netherlands,1995,879509,Technology,Industrial Machinery/Components
COST,2.79E+11,United States,,2373428,Consumer Discretionary,Department/Specialty Retail Stores
ORCL,2.76E+11,United States,1986,57561556,Technology,Computer Software: Prepackaged Software
ABBV,2.71E+11,United States,2012,5882163,Health Care,Biotechnology: Pharmaceutical Preparations
CVX,2.69E+11,United States,,9847717,Energy,Integrated oil Companies
MRK,2.64E+11,United States,,7931456,Health Care,Biotechnology: Pharmaceutical Preparations
KO,2.57E+11,United States,,12896283,Consumer Staples,Beverages (Production/Distribution)
TM,2.55E+11,Japan,,272499,Consumer Discretionary,Auto Manufacturing
CRM,2.48E+11,United States,2004,5825839,Technology,Computer Software: Prepackaged Software
NGG,2.47E+11,United Kingdom,,1393307,Utilities,Natural Gas Distribution
BAC,2.43E+11,United States,,34545688,Finance,Major Banks
PEP,2.32E+11,United States,,4515496,Consumer Staples,Beverages (Production/Distribution)
ACN,2.28E+11,Ireland,2001,1935315,Technology,EDP Services
AMD,2.22E+11,United States,,111584816,Technology,Semiconductors
MCD,2.11E+11,United States,,2251725,Consumer Discretionary,Restaurants
NVS,2.08E+11,Switzerland,,1380282,Health Care,Biotechnology: Pharmaceutical Preparations
LIN,2.07E+11,United States,,6820483,Industrials,Major Chemicals
NFLX,2.03E+11,United States,2002,3300150,Consumer Discretionary,Consumer Electronics/Video Chains
PDD,2.02E+11,China,2018,8304974,Consumer Discretionary,Business Services
CSCO,2.00E+11,United States,1990,18704954,Telecommunications,Computer Communications Equipment
SAP,1.94E+11,Germany,,736401,Technology,EDP Services
TMO,1.92E+11,United States,,1420247,Industrials,Industrial Machinery/Components
INTC,1.86E+11,United States,,31440756,Technology,Semiconductors
TMUS,1.86E+11,United States,,5048762,Telecommunications,Telecommunications Equipment
ABT,1.85E+11,United States,,5354513,Health Care,Biotechnology: Pharmaceutical Preparations
BABA,1.83E+11,China,2014,14659674,Consumer Discretionary,Business Services
NKE,1.82E+11,United States,,7377857,Consumer Discretionary,Shoe Manufacturing
TTE,1.74E+11,France,,1785280,Energy,Oil & Gas Production
CMCSA,1.72E+11,United States,,17533549,Telecommunications,Cable & Other Pay Television Services
WFC,1.69E+11,United States,,19786667,Finance,Major Banks
DIS,1.67E+11,United States,,13205992,Consumer Discretionary,Movies/Entertainment
INTU,1.66E+11,United States,1993,1251970,Technology,Computer Software: Prepackaged Software
HDB,1.62E+11,India,2001,2089257,Finance,Commercial Banks
DHR,1.62E+11,United States,,2891955,Industrials,Industrial Machinery/Components
PFE,1.61E+11,United States,,48537751,Health Care,Biotechnology: Pharmaceutical Preparations
TBB,1.60E+11,United States,2017,40155,Telecommunications,Telecommunications Equipment
VZ,1.57E+11,United States,,17094462,Telecommunications,Telecommunications Equipment
FMX,1.53E+11,Mexico,,220690,Consumer Staples,Beverages (Production/Distribution)
QCOM,1.52E+11,United States,1991,7378185,Technology,Computer peripheral equipment
BA,1.50E+11,United States,,5716448,Industrials,Aerospace
IBM,1.50E+11,United States,,5291217,Technology,Computer Manufacturing
LYG,1.50E+11,United Kingdom,,3456153,Finance,Commercial Banks
NOW,1.47E+11,United States,2012,903518,Technology,Computer Software: Prepackaged Software
AMGN,1.47E+11,United States,1983,2556869,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PM,1.44E+11,United States,,4038162,Health Care, Medicinal Chemicals and Botanical Products 
RYAAY,1.44E+11,Ireland,1997,614599,Consumer Discretionary,Air Freight/Delivery Services
TXN,1.43E+11,United States,,4714369,Technology,Semiconductors
UNP,1.42E+11,United States,,2427459,Industrials,Railroads
MS,1.37E+11,United States,,7394745,Finance,Investment Bankers/Brokers/Service
SPGI,1.35E+11,United States,,1095897,Finance,Finance: Consumer Services
GE,1.33E+11,United States,,3722332,Technology,Consumer Electronics/Appliances
CAT,1.33E+11,United States,,2374303,Industrials,Construction/Ag Equipment/Trucks
HON,1.33E+11,United States,,3093899,Industrials,Aerospace
UPS,1.32E+11,United States,1999,3039848,Industrials,Trucking Freight/Courier Services
COP,1.32E+11,United States,,6884290,Energy,Integrated oil Companies
AMAT,1.32E+11,United States,1972,5704048,Technology,Semiconductors
RY,1.30E+11,Canada,,595238,Finance,Commercial Banks
UBER,1.29E+11,United States,2019,27136729,Consumer Discretionary,Business Services
AXP,1.25E+11,United States,,2946155,Finance,Finance: Consumer Services
NEE,1.22E+11,United States,,9930993,Technology,EDP Services
LOW,1.20E+11,United States,,3552059,Consumer Discretionary,RETAIL: Building Materials
UL,1.20E+11,United Kingdom,,2212232,Consumer Discretionary,Package Goods/Cosmetics
SNY,1.19E+11,France,,1093323,Health Care,Biotechnology: Pharmaceutical Preparations
BKNG,1.19E+11,United States,,242975,Consumer Discretionary,Transportation Services
SCHW,1.18E+11,United States,,8272779,Finance,Investment Bankers/Brokers/Service
T,1.17E+11,United States,,41341065,Telecommunications,Telecommunications Equipment
RTX,1.17E+11,United States,,6809197,Industrials,Aerospace
GS,1.15E+11,United States,1999,1597576,Finance,Investment Bankers/Brokers/Service
SONY,1.14E+11,Japan,,689023,Consumer Staples,Consumer Electronics/Appliances
ELV,1.14E+11,United States,,1178672,Health Care,Medical Specialities
RIO,1.13E+11,Australia,2002,2703292,Basic Materials,Metal Mining
BLK,1.13E+11,United States,1999,607633,Finance,Investment Bankers/Brokers/Service
ISRG,1.13E+11,United States,2000,1370965,Health Care,Industrial Specialties
PLD,1.13E+11,United States,,4197927,Real Estate,Real Estate Investment Trusts
BCS,1.13E+11,United Kingdom,,15806257,Finance,Commercial Banks
LMT,1.12E+11,United States,,1008213,Industrials,Military/Government/Technical
SYK,1.12E+11,United States,,951650,Health Care,Medical/Dental Instruments
SBUX,1.12E+11,United States,1992,6312392,Consumer Discretionary,Restaurants
BUD,1.10E+11,Belgium,,1117629,Consumer Staples,Beverages (Production/Distribution)
